Country,Region,Internet Penetration Index,Mobile Connectivity Index,Trade to GDP Ratio Index,Logistics Performance Index,Modern Renewables Share Index,CO2 Intensity Index,Business Ready Index,Political Stability Index,Financial Depth Index,Financial Reserves Index
Afghanistan,Other,0.105,0.252,0.134,0,0.128,0.005,0.361,0.037,N/A,N/A
Albania,Other,0.754,0.696,0.176,0.25,0.515,0.006,0.714,0.646,0.147,0.373
Algeria,Africa,0.662,0.529,0.097,0.25,0.002,0.002,0.428,0.441,0.084,0.627
American Samoa,Other,N/A,N/A,0.355,N/A,0.006,N/A,N/A,0.861,N/A,N/A
Andorra,Other,0.932,N/A,N/A,N/A,0.247,N/A,N/A,0.971,N/A,N/A
Angola,Africa,0.341,0.404,0.154,0.083,0.117,0.005,0.319,0.485,0.04,0.451
Anguilla,LAC,N/A,N/A,N/A,N/A,0.008,N/A,N/A,0.911,N/A,N/A
Antigua & Barbuda,LAC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Argentina,LAC,0.85,0.691,0.058,0.375,0.119,0.004,0.584,0.597,0.066,0.524
Armenia,Other,0.739,0.713,0.223,0.25,0.114,0.004,0.816,0.437,0.281,0.316
Aruba,LAC,N/A,N/A,0.379,N/A,0.099,0.004,N/A,0.936,N/A,N/A
Australia,OECD,0.957,0.99,0.096,0.75,0.127,0.002,0.916,0.817,0.562,0.596
Austria,OECD,0.908,0.937,0.273,0.875,0.424,0.005,0.879,0.792,0.363,0.542
Azerbaijan,Other,0.847,0.707,0.191,N/A,0.017,0.003,0.849,0.426,0.114,0.44
"Bahamas, The",LAC,N/A,N/A,0.172,0.333,N/A,0.004,0.597,0.815,N/A,N/A
Bahrain,Other,1,0.847,0.373,0.667,0,0.001,0.838,0.509,N/A,0.346
Bangladesh,Other,0.333,0.518,0.056,0.292,0.004,0.006,0.374,0.394,0.155,0.492
Barbados,LAC,0.758,0.615,N/A,N/A,0.048,0.004,0.567,0.871,N/A,N/A
Belarus,Other,0.862,0.705,0.315,0.333,0.099,0.002,0.813,0.435,N/A,0.404
Belgium,OECD,0.922,0.936,0.433,0.875,0.137,0.005,0.823,0.736,0.298,0.558
Belize,LAC,0.651,0.627,0.24,N/A,0.317,0.01,0.531,0.723,0.163,0.116
Benin,Africa,0.207,0.344,0.113,0.417,0.097,0.004,0.485,0.528,0.082,N/A
Bermuda,Other,N/A,N/A,0.173,N/A,0.01,0.01,N/A,0.842,N/A,N/A
Bhutan,Other,0.809,0.59,0.182,0.25,0.134,N/A,0.689,0.828,0.23,0.18
Bolivia,LAC,N/A,0.599,0.127,0.208,N/A,0.003,0.475,0.544,0.284,0.254
Bosnia & Herzegovina,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Botswana,Africa,0.723,0.596,0.19,0.5,0.001,0.003,0.692,0.849,0.143,0.31
Brazil,LAC,0.786,0.842,0.067,0.542,0.551,0.004,0.585,0.52,0.328,0.765
British Virgin Is.,LAC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brunei,ASEAN,0.973,0.714,0.32,N/A,0,0.002,0.75,0.894,0.162,0.334
Bulgaria,Other,0.726,0.848,0.302,0.542,0.246,0.003,0.778,0.694,0.206,0.563
Burkina Faso,Africa,0.058,0.25,0.142,0.167,0.016,0.005,0.47,0.218,0.117,N/A
Burma,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burundi,Africa,0.023,0.173,0.052,N/A,0.022,0.007,0.401,0.323,N/A,N/A
Cambodia,ASEAN,0.534,0.566,0.328,0.208,0.281,0.003,0.506,0.592,0.54,0.497
Cameroon,Africa,0.359,0.464,0.078,0.083,0.234,0.007,0.391,0.294,N/A,N/A
Canada,OECD,0.928,0.939,0.148,0.875,0.282,0.002,0.892,0.816,N/A,0.664
Cape Verde,Africa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.817,N/A,N/A
Cayman Islands,LAC,N/A,N/A,0.268,N/A,0,0.009,N/A,0.973,N/A,N/A
Central African Rep.,Africa,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chad,Africa,0.037,0.172,0.192,N/A,0.014,0.007,0.253,0.294,N/A,N/A
